127.0.0.1, 2016-05-13 21:26:03, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000787
127.0.0.1, 2016-05-13 21:26:03, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000666
127.0.0.1, 2016-05-13 21:26:03, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.000511
127.0.0.1, 2016-05-13 21:26:03, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000552
127.0.0.1, 2016-05-13 21:26:03, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.000843
127.0.0.1, 2016-05-13 21:26:03, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001291
127.0.0.1, 2016-05-13 21:26:03, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.001125
127.0.0.1, 2016-05-13 21:26:03, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.000582
127.0.0.1, 2016-05-13 21:26:03, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 304, 0.000414
127.0.0.1, 2016-05-13 21:26:04, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000675
127.0.0.1, 2016-05-13 21:26:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000355
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/default/site, HTTP/1.1, 200, 0.064422
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.000558
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.000534
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.000554
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.000527
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000597
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000629
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000575
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000555
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.000505
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000480
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000564
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.000565
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.000799
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 304, 0.000451
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.001232
127.0.0.1, 2016-05-13 21:26:05, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000370
127.0.0.1, 2016-05-13 21:26:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000454
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/default/site, HTTP/1.1, 200, 0.077381
